,0
654,HOLD
655,HOLD
656,HOLD
657,HOLD
658,HOLD
659,HOLD
660,HOLD
661,HOLD
662,HOLD
663,HOLD
664,HOLD
665,HOLD
666,ORDER_SELL
667,HOLD
668,HOLD
669,ORDER_BUY
670,HOLD
671,HOLD
672,HOLD
673,HOLD
674,HOLD
675,HOLD
676,HOLD
677,HOLD
678,HOLD
679,HOLD
680,HOLD
681,HOLD
682,HOLD
683,HOLD
684,HOLD
685,HOLD
686,HOLD
687,HOLD
688,HOLD
689,HOLD
690,HOLD
691,HOLD
692,HOLD
693,HOLD
694,HOLD
695,HOLD
696,HOLD
697,HOLD
698,HOLD
699,HOLD
700,HOLD
701,HOLD
702,HOLD
703,HOLD
704,HOLD
705,HOLD
706,HOLD
707,HOLD
708,ORDER_SELL
709,HOLD
710,HOLD
711,HOLD
712,HOLD
713,HOLD
714,HOLD
715,HOLD
716,HOLD
717,HOLD
718,HOLD
719,HOLD
720,HOLD
721,HOLD
722,HOLD
723,HOLD
724,HOLD
725,HOLD
726,HOLD
727,HOLD
728,HOLD
729,HOLD
730,HOLD
731,HOLD
732,HOLD
733,HOLD
734,HOLD
735,HOLD
736,HOLD
737,HOLD
738,HOLD
739,HOLD
740,HOLD
741,HOLD
742,HOLD
743,HOLD
744,HOLD
745,HOLD
746,HOLD
747,HOLD
748,HOLD
749,HOLD
750,HOLD
751,HOLD
752,HOLD
753,HOLD
754,HOLD
755,HOLD
756,HOLD
757,HOLD
758,HOLD
759,HOLD
760,HOLD
761,HOLD
762,HOLD
763,HOLD
764,HOLD
765,HOLD
766,HOLD
767,HOLD
768,HOLD
769,HOLD
770,HOLD
771,HOLD
772,HOLD
773,HOLD
774,HOLD
775,HOLD
776,HOLD
777,HOLD
778,HOLD
779,HOLD
780,HOLD
781,HOLD
782,HOLD
783,HOLD
784,HOLD
785,HOLD
786,HOLD
787,HOLD
788,HOLD
789,HOLD
790,HOLD
791,HOLD
792,HOLD
793,HOLD
794,HOLD
795,HOLD
796,HOLD
797,HOLD
798,HOLD
799,HOLD
800,HOLD
801,HOLD
802,HOLD
803,HOLD
804,HOLD
805,HOLD
806,HOLD
807,HOLD
808,HOLD
809,HOLD
810,HOLD
811,HOLD
812,HOLD
813,HOLD
814,HOLD
815,HOLD
816,HOLD
817,HOLD
818,HOLD
819,HOLD
820,HOLD
821,HOLD
822,HOLD
823,HOLD
824,HOLD
825,HOLD
826,HOLD
827,HOLD
828,HOLD
829,HOLD
830,HOLD
831,HOLD
832,HOLD
833,HOLD
834,HOLD
835,HOLD
836,HOLD
837,ORDER_BUY
838,HOLD
839,HOLD
840,HOLD
841,HOLD
842,HOLD
843,HOLD
844,HOLD
845,ORDER_SELL
846,HOLD
847,HOLD
848,HOLD
849,HOLD
850,HOLD
851,HOLD
852,HOLD
853,HOLD
854,HOLD
855,HOLD
856,HOLD
857,HOLD
858,HOLD
859,HOLD
860,HOLD
861,HOLD
862,HOLD
863,HOLD
864,HOLD
865,HOLD
866,HOLD
867,HOLD
868,HOLD
869,HOLD
870,HOLD
871,HOLD
872,HOLD
873,HOLD
874,HOLD
875,HOLD
876,HOLD
877,HOLD
878,HOLD
879,HOLD
880,HOLD
881,HOLD
882,HOLD
883,HOLD
884,HOLD
885,HOLD
886,HOLD
887,HOLD
888,HOLD
889,HOLD
890,HOLD
891,HOLD
892,HOLD
893,HOLD
894,HOLD
895,HOLD
896,HOLD
897,HOLD
898,HOLD
899,HOLD
900,HOLD
901,HOLD
902,HOLD
903,HOLD
904,HOLD
905,HOLD
906,HOLD
907,HOLD
908,HOLD
909,HOLD
910,HOLD
911,HOLD
912,HOLD
913,HOLD
914,HOLD
915,HOLD
916,HOLD
917,ORDER_BUY
918,HOLD
919,HOLD
920,HOLD
921,HOLD
922,HOLD
923,HOLD
924,HOLD
925,HOLD
926,HOLD
927,HOLD
928,HOLD
929,HOLD
930,HOLD
931,HOLD
932,HOLD
933,HOLD
934,HOLD
935,HOLD
936,HOLD
937,HOLD
938,HOLD
939,HOLD
940,HOLD
941,HOLD
942,HOLD
943,HOLD
944,HOLD
945,HOLD
946,HOLD
947,HOLD
948,HOLD
949,HOLD
950,HOLD
951,ORDER_SELL
952,HOLD
953,HOLD
954,HOLD
955,HOLD
956,HOLD
957,HOLD
958,HOLD
959,HOLD
960,HOLD
961,HOLD
962,HOLD
963,HOLD
964,HOLD
965,HOLD
966,HOLD
967,HOLD
968,HOLD
969,HOLD
970,HOLD
971,HOLD
972,HOLD
973,HOLD
974,HOLD
975,HOLD
976,HOLD
977,HOLD
978,HOLD
979,HOLD
980,HOLD
981,HOLD
982,HOLD
983,HOLD
984,HOLD
985,HOLD
986,HOLD
987,HOLD
988,HOLD
989,HOLD
990,HOLD
991,HOLD
992,HOLD
993,HOLD
994,HOLD
995,HOLD
996,HOLD
997,HOLD
998,HOLD
999,HOLD
